OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1411,52788,52788003,NARIÑO,TANGUA,CHAVEZ,1999,CATASTRO IGAC,NULL,NULL,444.63152231,52,4463023.8649292,9091.91392375444
1412,52788,52788012,NARIÑO,TANGUA,LA CONCEPCIÓN,1999,CATASTRO IGAC,NULL,NULL,474.33132621,52,4761424.71881104,9904.52515280042
1413,52788,52788001,NARIÑO,TANGUA,BIRMANIA,1999,CATASTRO IGAC,NULL,NULL,276.51383568,52,2775608.63952637,6917.93378754145
1414,52788,52788002,NARIÑO,TANGUA,BUENA ESPERANZA,1999,CATASTRO IGAC,NULL,NULL,349.81241424,52,3511085.59503174,12259.3227047482
1415,52788,52788031,NARIÑO,TANGUA,TAPIALQUER ALTO,1999,CATASTRO IGAC,NULL,NULL,954.58614352,52,9581071.40686035,23176.5743970217
1416,52788,52788010,NARIÑO,TANGUA,GAUYABAL,1999,CATASTRO IGAC,NULL,NULL,585.71031438,52,5878916.19378662,14006.542054004
1417,52788,52788028,NARIÑO,TANGUA,SANTA ROSALIA,1999,CATASTRO IGAC,SE REDUCE EL 60% DE SU AREA INICIAL,NULL,177.8587256,52,1785404.19122314,11000.1441421768
1418,52720,52720007,NARIÑO,SAPUYES,PANAMAL,2009,EOT,NULL,NULL,4783.2477181,52,47974452.5384521,36562.3905890208
1419,52720,52720011,NARIÑO,SAPUYES,URIBE,2009,EOT,NULL,NULL,725.59470545,52,7278213.0725708,17123.4149694721
1420,52720,52720001,NARIÑO,SAPUYES,EL ESPINO,2009,EOT,VEREDA CON CENTRO POBLADO,NULL,2165.53985005,52,21721359.3701172,33739.5863947808
1421,52720,52720003,NARIÑO,SAPUYES,LA FLORESTA,2009,EOT,NULL,NULL,439.41812317,52,4407988.10742188,13333.2683248316
1422,52693,52693014,NARIÑO,SAN PABLO,DANTAS,2005,POT,NULL,NULL,243.54080287,52,2447650.51281738,7374.23070408107
1423,52693,52693038,NARIÑO,SAN PABLO,LOS ROBLES,2005,POT,NULL,NULL,146.39741914,52,1471319.98083496,5364.41465584332
1424,52693,52693002,NARIÑO,SAN PABLO,AGUADUAS,2005,POT,NULL,NULL,385.82194574,52,3877635.14135742,8511.14721454416
1425,52480,52480004,NARIÑO,NARIÑO,POZO VERDE,2010,w.nariño-nariño.gov,NULL,NULL,249.28085628,52,2502669.88037109,10245.2748973079
1426,52480,52480001,NARIÑO,NARIÑO,ALTO PRADERA,2010,w.nariño-nariño.gov,NULL,NULL,661.950133,52,6645567.34985352,14323.2805999743
1427,52693,52693018,NARIÑO,SAN PABLO,EL BOHIO,2005,POT,NULL,NULL,22.16233524,52,222708.8046875,1973.05934899382
1428,52317,52317018,NARIÑO,GUACHUCAL,GUAN PUENTE ALTO,2010,POT,NULL,NULL,649.43189248,52,6512012.41558838,14569.1963510033
1429,52317,52317016,NARIÑO,GUACHUCAL,GUAN,2010,POT,NULL,NULL,426.58899695,52,4277592.55462646,16415.9334178124
1430,52317,52317019,NARIÑO,GUACHUCAL,GUANCHA,2010,POT,NULL,NULL,175.17286243,52,1756851.68566895,5189.61775832759
1431,52317,52317008,NARIÑO,GUACHUCAL,CRISTO ALTO,2010,POT,NULL,NULL,216.03670051,52,2166284.88299561,8148.12071617573
1432,52838,52838048,NARIÑO,TÚQUERRES,PAYACAS,2009,EOT,NULL,NULL,58.4975327,52,586914.417663574,4527.87822575631
1433,52838,52838029,NARIÑO,TÚQUERRES,LA FLORESTA,2009,EOT,NULL,NULL,48.31459842,52,484739.300598145,3076.17591076091
1434,52585,52585003,NARIÑO,PUPIALES,VEREDA CASAFRÍA,2012,ALCALDIA MUNICIPAL,NULL,NULL,1034.23403207,52,10374293.7901611,16055.0502600829
1435,52585,52585018,NARIÑO,PUPIALES,VEREDA LA CONCORDIA,2012,ALCALDIA MUNICIPAL,NULL,NULL,222.8824829,52,2235689.39349365,9002.46187808221
1436,52694,52694011,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),LA ESTANCIA,INDF,DESCONOCIDA,SE REDUJO EL 60% DE SU AREA INICIAL,NULL,234.4488085,52,2355539.09533691,7166.83417987052
1437,52694,52694013,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),LOS FRAILES,INDF,DESCONOCIDA,NULL,NULL,373.51726803,52,3752342.48046875,8596.47574274347
1438,52694,52694001,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),BOTANILLA,INDF,DESCONOCIDA,NULL,NULL,315.32906332,52,3167873.2277832,9122.4207069375
1439,52694,52694016,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),SANTIAGO,INDF,DESCONOCIDA,NULL,NULL,131.96348345,52,1325726.20874023,5240.34755307524
1440,52694,52694012,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),LA RINCONADA,INDF,DESCONOCIDA,NULL,NULL,397.93026406,52,3997562.8458252,8124.30678199802
1441,52506,52506014,NARIÑO,OSPINA,VILLA DEL SUR,2004,EOT MPIO DE OSPINA,NULL,NULL,783.42111325,52,7859719.63537598,13371.755169508
1442,52506,52506006,NARIÑO,OSPINA,MANZANO-LAS NIEVES,2004,EOT MPIO DE OSPINA,NULL,NULL,816.08584343,52,8188626.16186523,12994.6979093837
1443,52480,52480005,NARIÑO,NARIÑO,YUNGUILLO,2010,w.nariño-nariño.gov,NULL,NULL,514.16507325,52,5161999.31091309,11202.5941192069
1444,52838,52838036,NARIÑO,TÚQUERRES,LAS CIENAGAS,2009,EOT,NULL,NULL,692.41768029,52,6945679.38696289,15811.376424753
1445,52838,52838014,NARIÑO,TÚQUERRES,EL OBREO,2009,EOT,NULL,NULL,25.85928177,52,259442.717163086,2367.75205815616
